gwas_id	trait	combined
AST	Serum_glutamic_oxaloacetic_transaminase	Serum_AST
Asthma	Asthma	Asthma
Asthma-Zhou-W-Cell-Genom	Asthma	Asthma
Atopic-dermatitis	Atopic	Atopic
Atrial-fibrillation	Atrial_fibrillation	Atrial_fibrillation
Basophil-count	Basophil_count	Basophil_count
BMI	BMI	BMI
Body-mass-index	BMI	BMI
Body-mass-index-Akiyama-M-Nat-Genet	BMI	BMI
Breast-cancer	BRCA	Breast_cancer
Brugada-syndrome-Ishikawa-T-Eur-Heart-J	Brugada_syndrome	Brugada_syndrome
BUN	Blood_urea_nitrogen	Blood_urea_nitrogen
CD-EAS-Liu2023NG	Crohns_disease	Crohns_disease
Cholelithiasis	Cholelithiasis	Cholelithiasis
Chronic-obstructive-pulmonary-disease-Zhou-W-Cell-Genom	COPD	COPD
Comorbidity-of-gastric-and-duodenal-ulcers-He-Y-Nat-Genet	Comorbidity_of_gastric_and_duodenal_ulcers	Peptic_ulcer
DBP	Diastolic_blood_pressure	Diastolic_blood_pressure
Duodenal-ulcer-He-Y-Nat-Genet	Duodenal_ulcer	Peptic_ulcer
Eosinophil-counts	Eosinophil_count	Eosinophil_count
Esophageal-cancer	Esophageal	Esophageal
FG	Fasting_glucose	Fasting_glucose
Gastric-cancer	Gastric_cancer	Gastric_cancer
Gastric-ulcer-He-Y-Nat-Genet	Gastric_ulcer	Peptic_ulcer
Glaucoma-Zhou-W-Cell-Genom	Glaucoma	Glaucoma
Gout-Major-TJ-Nat-Genet	Gout	Gout
Gout-Zhou-W-Cell-Genom	Gout	Gout
Graves-disease	Graves'_disease	Graves'_disease
HB	Hemoglobin	Hemoglobin
HbA1c	Glycated_hemoglobin	Glycated_hemoglobin
HCT	Hematocrit	Hematocrit
HDL-C	HDLC	HDLC
Hematocrit	Hematocrit	Hematocrit
Hemoglobin-A1c-levels	Glycated_hemoglobin	Glycated_hemoglobin
HR	Heart_rate	Heart_rate
HT	Height	Height
IBD-EAS-Liu2023NG	Inflammatory_bowel_disease	IBD
LDL-C	LDLC	LDLC
Lymphocyte-count	LCL_count	LCL_count
MAP	Mean_arterial_pressure	Mean_arterial_pressure
Mean-corpuscular-hemoglobin	MCH	MCH
Mean-corpuscular-hemoglobin-concentration	MCH_concentration	MCH
Mean-corpuscular-volume	Mean_corpuscular_volume	Mean_corpuscular_volume
Monocyte-count	Monocyte_count	Monocyte_count
Myocardial-infarction	Myocardial_Infraction	Myocardial Infraction
Neutrophil-count	Neutrophil_count	Neutrophil_count
Parkinsons-disease-Park-KW-NPJ-Parkinsons-Dis	Parkinsons_disease	Parkinsons_disease
Peptic-ulcer-disease-He-Y-Nat-Genet	Peptic_ulcer	Peptic_ulcer
Platelet-count	Platelet_count	Platelet_count
PLT	Platelet_count	Platelet_count
PP	Pulse_pressure	Pulse_pressure
Prostate-cancer	Prostate_cancer	Prostate_cancer
Prostate-cancer-Ito-S-Nat-Commun	Prostate_cancer	Prostate_cancer
Prostate-cancer-Wang-A-Nat-Genet	Prostate_cancer	Prostate_cancer
RBC	RBC	RBC
Red-blood-cell-count	RBC	RBC
Rheumatoid-arthritis	Rheumatoid_arthritis	Rheumatoid_arthritis
SBP	Systolic_blood_pressure	Systolic_blood_pressure
sCR	Serum_creatinine	Serum_creatinine
Stable-angina-pectoris	Stable_Angina	Stable_Angina
Stroke-Mishra-A-Nature	Stroke	Stroke
T-BIL	Total_bilirubin	Total_bilirubin
TC	Total_cholesterol	Total_cholesterol
TG	Triglycerides	Triglycerides
Type-2-diabetes	Type_2_diabetes	Diabetes_mellitus
Type-2-diabetes-Spracklen-CN-Nature	Type_2_diabetes	Diabetes_mellitus
UA	Uric_acid	Uric_acid
UC-EAS-Liu2023NG	Ulcerative_colitis	Ulcerative_colitis
Urolithiasis	Urolithiasis	Urolithiasis
Uterine-fibroids	Uterine_fibroids	Uterine_leiomyoma
WBC	WBC	WBC
Weight	Weight	Weight
T2D	T2D	Type_2_diabetes
CD	CD	Crohns_disease
Graves	Graves	Graves' disease
IBD	IBD	IBD
Stable_angina_pectoris	Stable_angina_pectoris	Stable_Angina
UC	UC	UC
Stroke-Zhou-W-Cell-Genom	Stroke	Stroke
150	Cancer of esophagus	Esophageal
153.3	Malignant neoplasm of rectum, rectosigmoid junction, and anus	Colorectal_cancer
199	Neoplasm of uncertain behavior	Neoplasm of uncertain behavior
225	Benign neoplasm of brain and other parts of nervous system	Benign neoplasm of brain
240	Simple and unspecified goiter	Simple and unspecified goiter
242.1	Graves' disease	Graves' disease
244	Hypothyroidism	Hypothyroidism
244.4	Hypothyroidism NOS	Hypothyroidism
250.7	Diabetic retinopathy	Diabetes_mellitus
251	disorders_of_pancreatic_internal_secretion	disorders_of_pancreatic_internal_secretion
277	Other disorders of metabolism	Other disorders of metabolism
277.2	Other disorders of purine and pyrimidine metabolism	Other disorders of metabolism
278	Overweight, obesity and other hyperalimentation	Obesity
278.1	Obesity	Obesity
340	Migraine	Migraine
362	Other retinal disorders	Other retinal disorders
370	Keratitis	Keratitis
411.2	Myocardial infarction	Myocardial Infraction
472	Chronic pharyngitis and nasopharyngitis	Chronic pharyngitis and nasopharyngitis
476	Allergic rhinitis	Allergic rhinitis
573.7	Abnormal results of function study of liver	Other_disorders_of_liver
574	Cholelithiasis and cholecystitis	Cholelithiasis
574.1	Cholelithiasis	Cholelithiasis
580.3	Nephritis and nephropathy without mention of glomerulonephritis	Nephritis and nephropathy
580.31	Nephritis and nephropathy in diseases classified elsewhere	Nephritis and nephropathy
580.32	Nephritis and nephropathy with pathological lesion	Nephritis and nephropathy
585	Renal_failure	Renal_failure
585.3	Chronic renal failure [CKD]	Renal_failure
585.33	Chronic Kidney Disease, Stage III	Renal_failure
586	Other disorders of the kidney and ureters	Other disorders of the kidney and ureters
594	Urinary_calculus	Urinary_calculus
594.3	Calculus of ureter	Urinary_calculus
595	Hydronephrosis	Hydronephrosis
599.2	Retention of urine	Retention of urine
600	Hyperplasia of prostate	Hyperplasia of prostate
613	Other nonmalignant breast conditions	Other nonmalignant breast conditions
681.1	Cellulitis and abscess of fingers/toes	Cellulitis and abscess of fingers/toes
709.2	Sicca_syndrome	Sicca_syndrome
790	Nonspecific findings on examination of blood	Other abnormal blood chemistry
790.6	Other abnormal blood chemistry	Other abnormal blood chemistry
Colorectal-cancer	Colorectal_cancer	Colorectal_cancer
