Ind	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	pop	superpop
GTEX-1192W	-23.6772	-34.8075	-6.79449	-5.17154	-0.73404	-1.86342	6.48307	-1.97273	-0.875925	-1.99081	GTEX-1192W	GTEX
GTEX-1192X	-23.174	-38.4084	-7.53937	-8.36235	1.39035	-0.512501	1.91096	-1.57146	-0.0390354	3.15283	GTEX-1192X	GTEX
GTEX-11DXX	-24.9163	-37.5766	-6.30303	-7.15213	0.145505	0.781904	3.29372	-3.62246	2.65818	-4.87669	GTEX-11DXX	GTEX
GTEX-11DXZ	66.4007	-2.1479	-1.26597	-0.902536	-0.312422	-1.14336	0.819087	0.666357	-3.55225	2.24663	GTEX-11DXZ	GTEX
GTEX-11DYG	71.1327	0.732477	-1.68428	-2.18689	1.15264	0.379003	1.89284	0.765345	-0.649518	0.452649	GTEX-11DYG	GTEX
GTEX-11DZ1	-24.9517	-34.5363	-6.0819	-3.27352	-0.850396	-0.097316	-0.762083	-4.76568	-0.789294	-1.18222	GTEX-11DZ1	GTEX
GTEX-11EI6	-23.9559	-35.4899	-7.33586	-7.22184	2.10659	0.267777	1.72052	0.408543	-1.9128	1.73051	GTEX-11EI6	GTEX
GTEX-11EM3	-24.4378	-35.4402	-6.26213	-5.03671	-1.27359	0.832071	1.62854	2.54162	0.193076	-5.03872	GTEX-11EM3	GTEX
GTEX-11EMC	-25.6333	-34.1678	-7.52394	-6.78695	0.791003	0.871746	0.927009	-1.81201	-1.37282	-1.13083	GTEX-11EMC	GTEX
GTEX-11EQ8	-25.5632	-34.4542	-6.02651	-4.77052	-0.240084	-1.53249	3.16322	-0.644697	-2.32692	2.49552	GTEX-11EQ8	GTEX
GTEX-11EQ9	-23.9497	-36.8617	-4.5101	-4.37442	-0.353022	-0.682649	1.78492	1.53054	-4.13877	0.393595	GTEX-11EQ9	GTEX
GTEX-11GS4	-19.2529	-34.3042	-2.37947	-6.24039	-0.133982	0.567965	-15.451	0.267729	-0.895569	1.4464	GTEX-11GS4	GTEX
GTEX-11GSO	-23.9978	-36.0182	-7.777	-6.09384	0.63112	0.125496	-0.528126	0.169035	0.951644	-4.32247	GTEX-11GSO	GTEX
GTEX-11GSP	-25.1113	-35.5742	-7.55908	-7.91696	0.0974744	-2.99173	-0.33472	0.187404	0.614965	-4.02866	GTEX-11GSP	GTEX
GTEX-11I78	-23.5586	-36.9118	-6.72997	-7.50558	-0.517344	2.51526	-0.201574	0.232898	-0.305022	5.27151	GTEX-11I78	GTEX
GTEX-11LCK	-23.1144	-37.657	-8.38099	-5.88668	0.79188	1.43081	2.37082	-0.0707199	-2.12465	1.34755	GTEX-11LCK	GTEX
GTEX-11NSD	-24.0743	-36.6071	-4.51067	-5.23852	0.699417	-1.5885	0.523088	-0.977878	-0.197349	1.43773	GTEX-11NSD	GTEX
GTEX-11NUK	-24.4635	-35.6916	-6.85001	-5.69913	-0.844493	-0.425942	2.39028	1.16631	-0.124796	-1.30447	GTEX-11NUK	GTEX
GTEX-11NV4	71.3608	-1.4599	-3.53835	-0.89141	0.0719942	-1.09295	-0.673171	2.08724	-5.17952	4.38751	GTEX-11NV4	GTEX
GTEX-11O72	-19.2349	-36.1794	-3.54237	-6.63206	-0.0403499	0.358406	-4.11765	0.66757	4.00727	-7.2919	GTEX-11O72	GTEX
GTEX-11OF3	-23.743	-35.7111	-8.02828	-6.01834	-0.60975	-0.987537	1.94994	1.12358	1.07712	-2.91303	GTEX-11OF3	GTEX
GTEX-11ONC	-25.2117	-38.6361	-7.89151	-5.63159	0.829693	-0.483441	3.59012	1.44419	0.179534	1.0153	GTEX-11ONC	GTEX
GTEX-11P7K	75.4668	-0.819211	-1.80797	-0.909714	0.0615084	0.44522	1.56313	1.77783	0.824761	-2.0821	GTEX-11P7K	GTEX
GTEX-11P81	-24.7508	-37.9001	-5.92055	-7.70273	-0.280704	-0.735633	4.97018	0.528378	1.89809	-5.0449	GTEX-11P81	GTEX
GTEX-11P82	-24.3485	-34.0241	-7.3221	-7.65475	0.263797	-0.212631	-1.22326	-0.301402	-0.448154	-1.72567	GTEX-11P82	GTEX
GTEX-11PRG	86.9629	4.45357	-1.55477	1.75339	-1.31977	-2.64929	0.78082	-0.491482	-3.04648	0.120787	GTEX-11PRG	GTEX
GTEX-11TT1	7.89928	-24.652	-6.43242	-5.10013	1.03982	1.16598	2.02498	-2.15969	-0.970369	0.337848	GTEX-11TT1	GTEX
GTEX-11TTK	-25.8142	-36.357	-7.68724	-5.8414	1.37294	-2.53343	7.99076	-1.90762	-2.31785	-0.667686	GTEX-11TTK	GTEX
GTEX-11TUW	-24.4814	-36.0044	-7.74014	-6.88378	-0.343683	2.12472	-0.663684	0.348995	-0.00916372	0.669071	GTEX-11TUW	GTEX
GTEX-11UD1	83.3471	3.21081	-1.09836	-0.44495	-0.312319	-2.8598	-1.14097	3.97601	-4.21688	1.10141	GTEX-11UD1	GTEX
GTEX-11UD2	-22.5654	-38.5378	-8.20719	-6.37037	0.917708	-1.78872	0.147569	-0.0390083	2.64807	-2.62899	GTEX-11UD2	GTEX
GTEX-11VI4	-22.9107	-37.0435	-7.77273	-6.3357	0.509336	-2.24357	0.684633	1.5912	-1.20561	-6.91832	GTEX-11VI4	GTEX
GTEX-11WQC	73.0204	0.0313453	-4.30878	-1.09817	0.83454	-0.932572	0.496922	-1.07033	-4.68125	3.37824	GTEX-11WQC	GTEX
GTEX-11WQK	-23.8738	-37.2801	-7.21744	-4.9062	-0.905713	0.22806	-1.12682	0.044943	-1.96203	5.16909	GTEX-11WQK	GTEX
GTEX-11XUK	-24.0236	-35.725	-6.41767	-7.04629	-0.290639	0.992097	3.76494	-0.624115	2.23359	-7.35151	GTEX-11XUK	GTEX
GTEX-11ZTS	-24.0737	-36.5018	-5.8191	-6.14682	-0.166533	0.588341	3.79242	2.33234	-2.37491	-10.7806	GTEX-11ZTS	GTEX
GTEX-11ZTT	-24.6798	-35.9671	-9.15706	-5.96945	-0.143752	1.38652	2.99908	0.338161	2.13173	-10.8711	GTEX-11ZTT	GTEX
GTEX-11ZU8	-24.8765	-36.4076	-5.62101	-6.56851	0.588002	-0.14979	7.57176	-0.0667274	-0.307635	1.513	GTEX-11ZU8	GTEX
GTEX-11ZUS	-23.5423	-36.9454	-4.94208	-8.1453	1.5331	-0.665502	-2.45128	1.51519	0.597642	-10.2744	GTEX-11ZUS	GTEX
GTEX-11ZVC	-23.2949	-36.5939	-5.71214	-3.77921	1.68528	-0.102881	6.11421	-0.795621	0.225524	-2.6295	GTEX-11ZVC	GTEX
GTEX-1211K	-26.5231	-37.0451	-8.80562	-6.36631	1.04875	0.476795	-0.0969954	-0.178593	-2.2429	-3.82744	GTEX-1211K	GTEX
GTEX-12126	72.8939	-1.79178	-0.420146	-1.33171	0.159399	-1.97024	0.978737	1.20095	0.343819	-1.02024	GTEX-12126	GTEX
GTEX-1212Z	-22.3309	-35.969	-7.12332	-5.25934	-1.0891	0.412451	0.0845967	-0.698863	-3.05294	5.70685	GTEX-1212Z	GTEX
GTEX-12584	-24.115	-34.7603	-5.7602	-7.37055	0.893142	-0.142594	0.511536	0.0607501	-2.05041	-2.35129	GTEX-12584	GTEX
GTEX-12696	-24.1946	-36.3528	-7.12414	-4.19323	0.832208	-0.589376	2.65422	0.448768	0.375914	-0.370084	GTEX-12696	GTEX
GTEX-1269C	-23.5137	-37.3419	-5.5153	-6.09756	0.356612	-0.562396	3.51136	0.921709	0.752188	-2.99384	GTEX-1269C	GTEX
GTEX-12C56	-25.0449	-37.9193	-7.99	-7.13236	-0.447136	-1.21471	5.90254	1.12762	2.95782	-4.84214	GTEX-12C56	GTEX
GTEX-12KS4	-21.4227	-34.8411	-4.01305	-5.23607	-1.03091	0.326652	-7.92268	-2.18046	4.57368	-1.38938	GTEX-12KS4	GTEX
GTEX-12WSA	-23.4493	-36.4207	-7.23675	-5.21617	1.19054	-0.885282	9.27339	0.312195	-1.07632	3.94202	GTEX-12WSA	GTEX
GTEX-12WSD	81.5209	1.29137	-2.57284	-1.19154	-0.427448	2.19256	-0.424674	1.32081	-6.76989	3.00666	GTEX-12WSD	GTEX
GTEX-12WSE	-25.9016	-37.0173	-7.67322	-4.49145	1.57521	-0.322912	3.69732	-1.23161	1.82155	1.51449	GTEX-12WSE	GTEX
GTEX-12WSF	-25.475	-36.4579	-6.01518	-6.19139	0.21764	-1.45845	3.41194	0.573801	1.91519	-2.96833	GTEX-12WSF	GTEX
GTEX-12WSG	-22.5322	-34.7759	-7.24729	-5.64564	0.727769	0.799834	2.77931	-0.230731	0.660576	-1.29757	GTEX-12WSG	GTEX
GTEX-12WSH	-25.0013	-35.3283	-6.51242	-7.92501	0.99057	1.59717	-0.106976	0.207338	-3.19055	-2.46618	GTEX-12WSH	GTEX
GTEX-12WSI	-22.8151	-36.5062	-7.90093	-4.80501	1.8856	1.33011	2.0187	-1.56001	-0.0558848	-4.5922	GTEX-12WSI	GTEX
GTEX-12WSJ	-24.6443	-36.8244	-7.1938	-7.26669	-0.360863	2.01714	0.918503	-0.376433	-0.59242	-5.71275	GTEX-12WSJ	GTEX
GTEX-12WSK	-25.6289	-35.7053	-6.64638	-5.12862	0.237204	1.21993	2.93986	-0.857321	-1.27836	1.68667	GTEX-12WSK	GTEX
GTEX-12WSL	-24.1948	-36.4951	-6.69773	-6.85254	-0.0915162	1.58511	2.21736	0.661819	-2.02298	4.13079	GTEX-12WSL	GTEX
GTEX-12WSM	-23.7948	-37.5999	-5.88883	-5.52566	-0.809203	1.78617	2.13828	0.162634	-0.0552463	-0.466423	GTEX-12WSM	GTEX
GTEX-12WSN	-25.8514	-37.8739	-6.08538	-7.09596	1.17518	-0.994168	3.26706	0.586649	-3.33394	3.51238	GTEX-12WSN	GTEX
GTEX-12ZZW	-23.1612	-35.4761	-5.29243	-5.82594	-0.545798	-1.19179	-2.37811	-0.192413	-3.51452	2.86048	GTEX-12ZZW	GTEX
GTEX-12ZZX	-21.6325	-15.9405	-8.847	11.7605	1.75734	2.99398	3.60454	-3.07848	0.0650543	-10.6424	GTEX-12ZZX	GTEX
GTEX-12ZZY	-23.9121	-35.9456	-6.26199	-5.39703	0.458716	0.800932	4.19851	0.730953	6.46511	-5.62692	GTEX-12ZZY	GTEX
GTEX-12ZZZ	-22.2915	-37.4552	-6.23113	-7.20766	0.412243	-1.74103	4.77804	2.19964	2.6934	-1.08069	GTEX-12ZZZ	GTEX
GTEX-13111	-20.7959	-28.2087	0.110429	-4.27917	-1.26424	1.70032	-7.82833	0.0684185	-0.531873	5.72669	GTEX-13111	GTEX
GTEX-13112	-24.2384	-34.4908	-7.15424	-5.41819	0.690215	-2.92396	2.91026	1.67971	-1.50377	5.41597	GTEX-13112	GTEX
GTEX-13113	48.3182	-9.27059	-2.9318	-1.66287	-1.39681	0.64148	-1.99675	1.10318	-3.68611	-0.257083	GTEX-13113	GTEX
GTEX-1313W	-24.5835	-37.1643	-6.24181	-7.69232	0.510375	-2.27562	5.16357	-2.09452	-2.56608	2.99941	GTEX-1313W	GTEX
GTEX-1314G	-24.9117	-37.2936	-6.97292	-5.54145	0.0011327	1.91932	-0.380619	0.820332	1.44771	-2.31986	GTEX-1314G	GTEX
GTEX-131XE	71.0705	-1.48651	-0.948394	-0.203018	-0.024934	0.160056	2.85209	1.05704	-3.30225	-0.5116	GTEX-131XE	GTEX
GTEX-131XF	6.26384	-21.2102	-6.30063	0.951634	1.4692	1.39546	-7.10022	-0.10826	-4.31348	6.23402	GTEX-131XF	GTEX
GTEX-131XG	-21.6705	-37.398	-6.40466	-5.98774	0.515816	2.26987	3.35607	0.29066	0.293767	-4.59565	GTEX-131XG	GTEX
GTEX-131XH	92.4672	5.37586	-1.74818	-0.861076	0.189418	-1.40784	1.05435	0.394286	-6.44275	-4.22349	GTEX-131XH	GTEX
GTEX-131XW	-25.5777	-35.8783	-7.01214	-5.74197	0.802562	-1.17935	4.02472	-1.78235	-0.921219	-3.53826	GTEX-131XW	GTEX
GTEX-131YS	-23.0758	-34.4872	-7.19729	-5.38957	-1.05018	-1.83846	-0.168184	0.614937	-0.0850169	-1.2034	GTEX-131YS	GTEX
GTEX-132AR	-25.6367	-37.3697	-6.49666	-5.48495	0.220108	-1.20857	3.66534	-0.426691	-2.95037	3.1671	GTEX-132AR	GTEX
GTEX-132NY	-24.8358	-34.7788	-7.19599	-7.00153	-0.0647037	-0.149253	0.160619	-0.19426	-2.03703	-6.14532	GTEX-132NY	GTEX
GTEX-132Q8	-24.9569	-35.1037	-8.71488	-6.64836	0.8905	1.22164	6.90554	0.91626	0.343749	0.985432	GTEX-132Q8	GTEX
GTEX-132QS	-18.6271	-2.92935	40.5809	7.7579	-1.57186	0.55827	0.0453972	-0.0832273	-2.38112	6.5959	GTEX-132QS	GTEX
GTEX-1339X	-24.3705	-35.5602	-6.93814	-6.81662	1.78641	-1.80788	4.56642	0.926542	1.47124	-6.41575	GTEX-1339X	GTEX
GTEX-133LE	-24.8388	-34.6387	-6.86307	-1.46716	-1.23357	-0.157828	5.93833	2.15442	1.50425	-9.96434	GTEX-133LE	GTEX
GTEX-1399Q	-23.6418	-35.2484	-8.94595	-3.94097	-1.36456	-0.504393	5.95345	-0.827352	4.11789	-8.82693	GTEX-1399Q	GTEX
GTEX-1399R	-25.2281	-37.8326	-6.10759	-7.84924	-0.155219	-0.89851	7.63593	-1.04211	-1.52656	-6.10888	GTEX-1399R	GTEX
GTEX-1399S	-24.6414	-34.9776	-3.62347	-4.88422	-0.00631952	-0.692675	-1.24043	2.56448	-1.58472	-0.26454	GTEX-1399S	GTEX
GTEX-1399T	-24.9484	-37.0839	-9.82759	-7.83564	0.721452	0.489575	0.319976	-0.697972	-1.35132	0.66771	GTEX-1399T	GTEX
GTEX-1399U	-22.4529	-36.0115	-6.33755	-8.99763	0.676814	1.56375	1.84666	0.625768	4.32951	-8.90851	GTEX-1399U	GTEX
GTEX-139D8	-25.6339	-35.7466	-4.5251	-6.09399	-1.52994	1.06544	2.58699	1.54528	-0.743814	-3.10498	GTEX-139D8	GTEX
GTEX-139T4	-24.2674	-36.9824	-7.39098	-6.27138	0.136998	1.13682	0.489167	-2.70148	-2.2914	-2.16358	GTEX-139T4	GTEX
GTEX-139T6	-21.9405	-36.7623	-9.49924	-7.65247	0.225189	-1.46562	-0.0673754	0.405089	-2.09489	-2.69385	GTEX-139T6	GTEX
GTEX-139TS	-24.6324	-36.1198	-9.16357	-5.64556	0.555841	0.660227	4.14147	-1.5091	-1.88198	0.59056	GTEX-139TS	GTEX
GTEX-139TT	-26.3213	-37.902	-8.15578	-7.57603	0.211029	1.05818	3.01873	-0.277057	-2.24703	1.43151	GTEX-139TT	GTEX
GTEX-139TU	-21.2226	-34.2481	-3.52832	-7.99866	-0.934958	0.567231	-14.7393	-0.190718	0.758294	4.416	GTEX-139TU	GTEX
GTEX-139UW	-25.2858	-36.394	-7.24828	-6.16421	-1.90876	0.0916718	4.77335	0.496941	-5.65945	7.0389	GTEX-139UW	GTEX
GTEX-139YR	-25.3943	-37.0846	-5.20352	-5.56528	0.120977	-0.0191816	1.30275	1.07564	-1.69156	-0.321233	GTEX-139YR	GTEX
GTEX-13CF2	-23.4109	-33.8342	-6.32683	-3.83701	-0.876435	2.3612	0.690304	1.47063	1.52724	1.2307	GTEX-13CF2	GTEX
GTEX-13CF3	-23.5046	-36.5342	-7.49124	-5.62458	1.12039	-1.15579	8.19629	-1.5177	-0.621841	4.65006	GTEX-13CF3	GTEX
GTEX-13CIG	-24.3244	-36.4975	-6.32675	-8.29951	0.868787	0.365662	2.75817	-0.698395	0.451258	-1.53328	GTEX-13CIG	GTEX
GTEX-13CZU	-26.5129	-35.692	-8.30838	-6.59471	0.863588	0.992013	2.70669	0.837557	0.0590609	-2.33163	GTEX-13CZU	GTEX
GTEX-13CZV	-24.3361	-37.8688	-7.45103	-5.99591	1.44887	0.0115431	2.49209	-1.44499	2.52673	-1.17552	GTEX-13CZV	GTEX
GTEX-13D11	-24.4248	-36.5906	-9.29873	-4.12851	0.79143	0.478914	2.76514	-3.27104	0.311103	0.645835	GTEX-13D11	GTEX
GTEX-13FH7	-25.716	-37.2252	-8.0258	-4.27032	-0.52953	-1.2657	0.620723	0.00562224	-0.437479	4.01306	GTEX-13FH7	GTEX
GTEX-13FHO	-23.7159	-37.2956	-7.51033	-8.69343	-1.75414	1.45811	-3.35496	-0.80377	-3.83917	5.26624	GTEX-13FHO	GTEX
GTEX-13FHP	72.6124	-0.790124	-1.58386	-1.20163	1.21929	-1.32127	1.32406	-1.30288	1.92667	-2.40123	GTEX-13FHP	GTEX
GTEX-13FLV	-24.4465	-36.1782	-5.97597	-7.64431	-0.826513	1.76596	2.7644	-0.377154	1.68411	-3.89369	GTEX-13FLV	GTEX
GTEX-13FLW	66.1314	-1.54467	-1.14258	-2.16353	1.41116	-0.905766	-0.339532	-2.08135	-3.4227	-7.4464	GTEX-13FLW	GTEX
GTEX-13FTW	-22.6076	-35.0963	-4.40118	-7.6363	-0.9757	-1.37975	-5.8902	0.300618	-2.48679	1.89311	GTEX-13FTW	GTEX
GTEX-13FTX	-24.1251	-36.7264	-8.03253	-5.50795	0.0162902	-0.416888	1.56902	-0.967113	-2.99859	0.00331529	GTEX-13FTX	GTEX
GTEX-13FTY	-25.9451	-35.847	-6.40077	-5.41335	-0.846214	-0.955857	-1.224	-1.58706	-5.14499	5.79232	GTEX-13FTY	GTEX
GTEX-13FTZ	-22.3233	-35.9088	-7.35827	-6.19931	1.23386	0.82182	-0.833664	1.52821	0.158245	-2.91037	GTEX-13FTZ	GTEX
GTEX-13FXS	76.155	2.19239	-1.9794	0.48059	0.0924541	1.13084	0.556167	-2.98868	-1.13505	1.68073	GTEX-13FXS	GTEX
GTEX-13G51	-23.2496	-35.1442	-7.53898	-5.98488	0.303845	0.243775	-1.15499	2.22613	-1.75052	-0.984593	GTEX-13G51	GTEX
GTEX-13IVO	-26.1496	-35.8053	-6.71129	-3.32384	-0.725218	-0.56662	13.137	1.16571	1.78882	-3.32707	GTEX-13IVO	GTEX
GTEX-13JUV	71.5947	1.98008	-1.5018	-0.352016	2.14722	-1.86597	1.83604	2.84886	-2.64281	-1.39707	GTEX-13JUV	GTEX
GTEX-13JVG	-23.9226	-35.8798	-8.26525	-5.15288	0.669994	-0.316628	3.82113	-0.0229056	0.639982	3.41931	GTEX-13JVG	GTEX
GTEX-13N11	70.1595	-0.138689	-3.31466	-0.334176	1.93828	-0.67832	1.55831	1.05519	-5.98672	3.34254	GTEX-13N11	GTEX
GTEX-13N1W	-24.8241	-36.2069	-5.97279	-5.60061	-0.616391	-0.135028	-0.276142	1.23103	2.73921	0.837821	GTEX-13N1W	GTEX
GTEX-13N2G	-22.5896	-37.1565	-5.77667	-7.06084	0.448596	-0.293925	3.2956	-2.60366	-0.910881	0.0700897	GTEX-13N2G	GTEX
GTEX-13NYB	69.9633	0.0845955	-2.8475	-0.354819	0.930305	0.732887	0.31714	0.11562	-4.04096	0.452746	GTEX-13NYB	GTEX
GTEX-13NYC	-23.669	-34.9294	-4.21991	-5.06005	2.67452	3.17576	-7.09531	0.0287278	1.31344	-2.57087	GTEX-13NYC	GTEX
GTEX-13NZ8	-26.0453	-34.6777	-8.07232	-6.46205	-1.39268	-2.20986	1.59509	0.240776	-1.87109	0.189479	GTEX-13NZ8	GTEX
GTEX-13NZ9	-29.0123	63.5939	-6.84352	-8.2814	7.38739	3.27165	0.293471	0.217606	-0.546594	4.62503	GTEX-13NZ9	GTEX
GTEX-13NZA	-25.8765	-38.9004	-7.72379	-5.19393	0.237539	0.618036	2.39381	1.15482	-2.3324	-0.187653	GTEX-13NZA	GTEX
GTEX-13NZB	-22.7691	-36.3402	-7.81883	-6.16335	0.657288	0.534362	1.2201	-0.605769	-3.43229	-3.29598	GTEX-13NZB	GTEX
GTEX-13O21	-23.6473	-34.8773	-5.31375	-6.49297	-1.46041	-0.966215	0.810346	1.004	-0.967857	-8.12943	GTEX-13O21	GTEX
GTEX-13O3O	-25.8886	-38.2248	-7.4656	-7.76601	0.219723	0.75847	-3.41781	-0.784061	-1.5917	2.81615	GTEX-13O3O	GTEX
GTEX-13O3P	-25.0526	-36.6293	-9.21056	-6.20206	-0.997467	-1.18518	3.29067	0.668734	-1.78941	-2.97022	GTEX-13O3P	GTEX
GTEX-13O3Q	-26.0239	-34.9116	-7.311	-7.08372	0.767599	-1.50931	4.00392	2.24155	1.15616	-2.35195	GTEX-13O3Q	GTEX
GTEX-13O61	3.80242	-14.1069	-9.13156	8.6085	1.61008	-1.40393	-4.91028	-1.31492	0.417156	3.79869	GTEX-13O61	GTEX
GTEX-13OVG	-23.2571	-37.521	-7.28891	-5.73073	-0.666279	0.653513	0.741502	0.0272893	1.5245	-0.238704	GTEX-13OVG	GTEX
GTEX-13OVH	-23.6868	-35.4846	-7.06939	-6.79854	0.693665	1.6047	2.48385	0.0555711	2.31525	-3.07818	GTEX-13OVH	GTEX
GTEX-13OVI	67.5012	-4.7535	-3.89231	-1.16259	-0.985376	3.08187	0.0433381	2.78422	-1.43723	-4.00253	GTEX-13OVI	GTEX
GTEX-13OVJ	-23.1687	-35.7035	-5.74737	-7.3455	-0.130361	1.76748	0.310236	1.36617	4.24851	-11.5193	GTEX-13OVJ	GTEX
GTEX-13OVK	-23.2592	-35.98	-4.78917	-5.52957	-0.703866	-0.333541	2.55364	-0.636973	-0.0436474	-0.805375	GTEX-13OVK	GTEX
GTEX-13OVL	-25.1375	-36.2413	-7.79035	-5.39141	1.43786	-0.820271	4.94654	0.358139	-1.41463	-0.208661	GTEX-13OVL	GTEX
GTEX-13OW5	-25.5823	-37.2812	-6.49218	-4.1235	-0.23975	1.16418	2.59739	-0.82283	-0.387722	-3.27556	GTEX-13OW5	GTEX
GTEX-13OW6	-23.6776	-36.9894	-6.36251	-7.23011	-1.297	-2.06541	3.48198	0.0571115	0.794831	2.70511	GTEX-13OW6	GTEX
GTEX-13OW7	-25.2324	-36.5658	-6.72995	-4.8344	-1.02775	0.539727	3.00954	-0.044333	4.11221	-6.08415	GTEX-13OW7	GTEX
GTEX-13OW8	-25.4179	-37.4177	-6.00039	-6.4018	-1.53765	-0.350084	0.0799548	1.23803	-0.29601	-7.19189	GTEX-13OW8	GTEX
GTEX-13PDP	-21.5097	-32.4666	-3.33924	-6.32063	-0.543688	1.37557	-14.5928	-2.81267	1.61502	3.14525	GTEX-13PDP	GTEX
GTEX-13PL6	-17.1325	-28.6259	-8.18949	4.12612	0.706998	0.940778	-1.17189	1.43645	-0.657855	-0.771248	GTEX-13PL6	GTEX
GTEX-13PL7	-25.0689	-35.9703	-5.20271	-6.15811	-0.0193571	-0.842783	6.80046	-2.65607	-2.13885	4.9457	GTEX-13PL7	GTEX
GTEX-13PLJ	-25.162	-35.7923	-8.551	-6.36458	-0.0247212	-2.34134	3.9972	-0.477934	-4.51967	1.19996	GTEX-13PLJ	GTEX
GTEX-13PVQ	-17.2837	-28.5382	4.11648	-2.69996	-2.70891	2.82139	-15.3919	1.4067	-0.387198	3.72434	GTEX-13PVQ	GTEX
GTEX-13PVR	-25.3336	-36.6408	-7.74529	-6.03046	-0.452178	1.81076	3.86933	0.79567	-1.5908	2.65671	GTEX-13PVR	GTEX
GTEX-13QBU	-23.6471	-38.0913	-5.95006	-6.73996	0.638558	-0.915067	1.84068	-1.09962	1.28039	-6.29094	GTEX-13QBU	GTEX
GTEX-13QIC	-23.1257	-33.9803	-6.06563	-4.48702	-0.349353	1.93869	-5.48931	-0.58527	1.36267	-0.000981828	GTEX-13QIC	GTEX
GTEX-13QJ3	-23.3817	-36.7573	-6.12077	-7.63551	0.337475	-0.368724	0.367223	-0.647575	-1.44485	-0.0454531	GTEX-13QJ3	GTEX
GTEX-13QJC	-24.1241	-37.3125	-7.87076	-8.91247	-1.65778	-1.2599	-5.21592	-2.39033	-2.40276	4.01618	GTEX-13QJC	GTEX
GTEX-13RTJ	-24.2471	-34.7769	-8.31358	-5.88198	1.2103	1.79094	5.72879	-2.063	2.44555	-4.57039	GTEX-13RTJ	GTEX
GTEX-13RTK	-23.4052	-35.6767	-5.93428	-5.39341	0.0164495	-1.53701	7.96367	-0.237436	-2.72342	1.65014	GTEX-13RTK	GTEX
GTEX-13RTL	-24.9028	-36.6709	-8.20457	-5.34786	0.883805	0.135629	-0.252062	-0.918959	2.48059	-3.2492	GTEX-13RTL	GTEX
GTEX-13S7M	-23.5468	-37.1959	-5.79343	-4.3029	1.7779	-1.10347	10.4425	0.722242	1.1528	-2.89607	GTEX-13S7M	GTEX
GTEX-13S86	-25.8596	-35.018	-8.07458	-5.5186	0.140019	-0.898231	-0.957471	-1.08789	2.77641	-6.32622	GTEX-13S86	GTEX
GTEX-13SLW	-22.3609	-35.9195	-7.42928	-6.76474	0.582703	0.224594	-0.414138	-1.56028	0.690424	2.36748	GTEX-13SLW	GTEX
GTEX-13SLX	62.3149	-1.58647	-2.83527	-0.647364	0.471119	-1.98966	1.69443	-0.517722	-0.832215	-0.368154	GTEX-13SLX	GTEX
GTEX-13U4I	-23.6386	-36.2402	-7.35056	-5.59387	0.520292	-1.32467	2.69025	0.434953	-3.13859	2.23054	GTEX-13U4I	GTEX
GTEX-13VXT	64.1231	-2.93184	-2.36999	0.061351	0.560206	0.193365	-1.54566	-1.25642	2.06265	-7.61059	GTEX-13VXT	GTEX
GTEX-13VXU	-25.3188	-37.0521	-4.13353	-6.03632	-0.111855	0.435345	0.777542	-0.677075	0.053768	1.70529	GTEX-13VXU	GTEX
GTEX-13W3W	-24.2642	-37.8792	-8.96916	-6.77808	0.260995	-0.47995	-0.160411	0.892678	6.10228	-9.02776	GTEX-13W3W	GTEX
